port_name,latitude,longitude
Port of Rodman,8.95,-79.5666666666667
Port of Bora Bora,-16.45,-151.75
Port of Papeete,-17.55,-149.616666666667
Port of Madang,-5.21666666666667,145.783333333333
Port of Motukea Island,-9.43333333333333,147.1
Port of Batangas/Luzon,13.75,121.05
Port of General Santos,6.11666666666667,125.15
Port of Tagoloan,8.53333333333333,124.75
Port of Gdynia,54.5,18.55
Port of Swinoujscie,53.9,14.25
Port of San Juan,18.45,-66.0833333333333
Port of Canical,32.7333333333333,-16.7333333333333
Port of Figueira da Foz,40.15,-8.86666666666667
Port of Horta,38.5333333333333,-28.6333333333333
Port of Leixoes,41.1833333333333,-8.68333333333333
Port of Lisboa,38.7166666666667,-9.13333333333333
Port of Pico,41.6833333333333,-8.41666666666667
Port of Ponta Delgada,37.7333333333333,-25.6666666666667
Port of Porto Santo Island,33.0666666666667,-16.3333333333333
Port of Praia da Graciosa,39.05,-27.9666666666667
Port of Praia da Vitoria,38.7333333333333,-27.0666666666667
Port of Santa Cruz das Flores,39.45,-31.1166666666667
Port of Setubal,38.5333333333333,-8.9
Port of Sines,37.95,-8.86666666666667
Port of Velas,38.6833333333333,-28.2166666666667
Port of Vila do Porto,36.9333333333333,-25.15
Port of Asuncion,-25.2666666666667,-57.6666666666667
Port of BGN/PCGN1956 - HAMAD,25.0,51.6166666666667
Port of Mesaieed,25.6333333333333,51.9166666666667
Port of Constanta,44.1833333333333,28.65
Port of Lomonosov,59.9,29.7333333333333
Port of Novorossiysk,44.7166666666667,37.7666666666667
Port of Saint Petersburg (ex Leningrad),59.8833333333333,30.25
Port of Ust'-Luga,59.6666666666667,28.3166666666667
Port of Vostochnyy Port,42.7666666666667,133.05
Port of Zarubino,42.6166666666667,131.083333333333
Port of Ad Dammam,26.4166666666667,50.1
Port of Jeddah,21.5333333333333,39.1666666666667
Port of King Abdullah City,22.4,39.0833333333333
Port of Yanbu al-Bahr,24.0833333333333,38.0333333333333
Port of Ahus,55.9166666666667,14.2833333333333
Port of Gavle,60.6666666666667,17.1666666666667
Port of Goteborg,57.7166666666667,11.9666666666667
Port of Halmstad,56.6666666666667,12.85
Port of Karlstad,59.3666666666667,13.5
Port of Norrkoping,58.6,16.1833333333333
Port of Oskarshamn,57.2666666666667,16.4333333333333
Port of Oxelosund,58.6666666666667,17.1
Port of Pitea,65.3333333333333,21.5
Port of Sodertalje,59.2,17.6166666666667
Port of Stockholm,59.3333333333333,18.05
Port of Sundsvall,62.3833333333333,17.3
Port of Umea,63.8333333333333,20.25
Port of Vasteras,59.6166666666667,16.55
Port of Latakia,35.5166666666667,35.7833333333333
Port of Tartus,34.9,35.9
Port of Bangkok,13.75,100.516666666667
Port of Laem Chabang,13.0833333333333,100.883333333333
Port of Phuket International Apt,8.11666666666667,98.3166666666667
Port of Sahathai Coastal Seaport,13.65,100.533333333333
Port of Dili,-8.55,125.566666666667
Port of Nuku'alofa,-21.1333333333333,-175.2
Port of Ambarli,41.0333333333333,39.1666666666667
Port of Antalya,36.8333333333333,30.6
Port of Bandirma,40.35,27.9666666666667
Port of Eregli,37.5,34.05
Port of Evyap Port /Kocaeli,40.7666666666667,29.7
Port of Gebze,40.7833333333333,29.4166666666667
Port of Gemlik,40.4166666666667,29.15
Port of Iskenderun,36.5833333333333,36.1666666666667
Port of Izmir,38.4166666666667,27.15
Port of Izmit,40.7833333333333,29.95
Port of Kumport,40.95,28.8166666666667
Port of Limas,38.75,26.9166666666667
Port of Mardas,41.0166666666667,28.95
Port of Mersin,36.7166666666667,34.6333333333333
Port of Samsun,41.2833333333333,36.3333333333333
Port of Tekirdag,40.9666666666667,27.5166666666667
Port of Trabzon,41.0,39.7333333333333
Port of Yilport,40.7666666666667,29.5333333333333
Port of Port-of-Spain,10.65,-61.5166666666667
Port of Port-of-Spain,10.65,-61.5166666666667
Port of Taipei,25.0333333333333,121.516666666667
Port of Dar es Salaam,-6.8,39.2833333333333
Port of Chornomorsk,46.3166666666667,30.6666666666667
Port of Odesa,46.5,30.75
Port of Yuzhnyi,46.6,31.0166666666667
Port of Baltimore,39.2833333333333,-76.6166666666667
Port of Chester,43.2666666666667,-72.5833333333333
Port of Eastport,44.918963897792,-67.0004603662156
Port of Fernandina Beach,30.6666666666667,-81.45
Port of Gulfport,30.3781564577398,-89.0849062203229
Port of Honolulu,21.3,-157.85
Port of Houston,61.6333333333333,-149.816666666667
Port of Long Beach,33.7666666666667,-118.183333333333
Port of New York,40.7,-74
Port of Norfolk,42.0,-73.2
Port of Oakland,37.9329047958214,-122.22025462963
Port of Philadelphia,44.15,-75.7166666666667
Port of Port Everglades,26.1,-80.1333333333333
Port of Port Hueneme,34.1333333333333,-119.183333333333
Port of Port Manatee,27.6333333333333,-82.55
Port of San Diego,32.7,-117.15
Port of Stockton,37.95,-121.283333333333
Port of Wilmington,34.2166666666667,-77.9333333333333
Port of Punta Pereyra,-34.2333333333333,-58.0666666666667
Port of Kingstown,13.1333333333333,-61.2166666666667
Port of Palua,8.35,-62.6666666666667
Port of Christiansted,17.75,-64.75
